id;name;url;category;currencyId;param;picture;oldprice;price
1,00501E+15;customized yarn for beautiful dress or mermaid tail;https://rzekl.com/g/1e8d114494a625e64bb116525dc3e8/?ulp=https%3A%2F%2Fs.click.aliexpress.com%2Fdeep_link.htm%3Faff_short_key%3D_c3s1yQkJ%26dl_target_url%3Dhttps%253A%252F%252Fwww.aliexpress.com%252Fitem%252F1005008883284936.html%253Fpdp_npi%253D4%252540dis%252521USD%25252190.16%25252188.36%252521%252521%252521638.10%252521625.34%252521%252540213bf77217630748551837679e7bf6%25252112000047076359403%252521affd%252521%252521%252521&i=5&f_id=50002;DIY Accessories;USD;"discount|2%|;commissionRate|5.38%|;shopId|4466008|;";https://ae-pic-a1.aliexpress-media.com/kf/S84691e025b5b4dfebdf38296d059ec55p.jpg;90.16;88.36
1,00501E+15;Mavuika Sword Genshin Impact Cosplay Props Halloween Christmas Fancy Party Costumes Accessories;https://rzekl.com/g/1e8d114494a625e64bb116525dc3e8/?ulp=https%3A%2F%2Fs.click.aliexpress.com%2Fdeep_link.htm%3Faff_short_key%3D_c3s1yQkJ%26dl_target_url%3Dhttps%253A%252F%252Fwww.aliexpress.com%252Fitem%252F1005009888308487.html%253Fpdp_npi%253D4%252540dis%252521USD%252521198.41%25252199.20%252521%252521%2525211404.18%252521702.09%252521%2525402102e09d17630748562191664eb2f8%25252112000050485773299%252521affd%252521%252521%252521&i=5&f_id=50002;Cosplay Accessories;USD;"discount|50%|;commissionRate|5.38%|;shopId|1104099662|;";https://ae-pic-a1.aliexpress-media.com/kf/S8e18c80351b64413b669ef652d1062d1j.jpg;198.41;99.20
1,00501E+15;F3L300R07PE4 F3L300R07PE4_ENG  FREE SHIPPING NEW AND ORIGINAL MODULE F3L300R07PE4BOSA1  F3L300R07PE4-ENG;https://rzekl.com/g/1e8d114494a625e64bb116525dc3e8/?ulp=https%3A%2F%2Fs.click.aliexpress.com%2Fdeep_link.htm%3Faff_short_key%3D_c3s1yQkJ%26dl_target_url%3Dhttps%253A%252F%252Fwww.aliexpress.com%252Fitem%252F1005008343314911.html%253Fpdp_npi%253D4%252540dis%252521USD%25252190.00%25252190.00%252521%252521%25252190.00%25252190.00%252521%25254021411b6217630748544067884e2faa%25252112000044668536813%252521affd%252521%252521%252521&i=5&f_id=50002;Electrical Equipment & Supplies;USD;"discount|0%|;commissionRate|5.38%|;shopId|4656111|;";https://ae-pic-a1.aliexpress-media.com/kf/S657fd1b2cde942dc90d8a90082b5bfd8T.jpg;;90.00
1,00501E+15;Handheld Big Red Ostrich Feather Fan 100CM Feathers for Carnival Stage Performance Belly Dance Crafts Fan;https://rzekl.com/g/1e8d114494a625e64bb116525dc3e8/?ulp=https%3A%2F%2Fs.click.aliexpress.com%2Fdeep_link.htm%3Faff_short_key%3D_c3s1yQkJ%26dl_target_url%3Dhttps%253A%252F%252Fwww.aliexpress.com%252Fitem%252F1005010035785699.html%253Fpdp_npi%253D4%252540dis%252521USD%252521197.87%25252194.98%252521%252521%2525211400.35%252521672.17%252521%2525402102e09d17630748553915490eb2a0%25252112000050902708748%252521affd%252521%252521%252521&i=5&f_id=50002;DIY Accessories;USD;"discount|52%|;commissionRate|5.38%|;shopId|1105070910|;";https://ae-pic-a1.aliexpress-media.com/kf/S35d4d82dd3ad44089f4c54cc5843cb5ei.jpg;197.87;94.98
1,00501E+15;White Natural Ostrich Feather Fan Hand Held Dance Folding Big Plumes Fans Performance Dance Party Stage Carnival Show Props Long;https://rzekl.com/g/1e8d114494a625e64bb116525dc3e8/?ulp=https%3A%2F%2Fs.click.aliexpress.com%2Fdeep_link.htm%3Faff_short_key%3D_c3s1yQkJ%26dl_target_url%3Dhttps%253A%252F%252Fwww.aliexpress.com%252Fitem%252F1005010035798634.html%253Fpdp_npi%253D4%252540dis%252521USD%252521183.95%25252188.30%252521%252521%2525211301.82%252521624.87%252521%2525402102e09d17630748553915490eb2a0%25252112000050902804548%252521affd%252521%252521%252521&i=5&f_id=50002;DIY Accessories;USD;"discount|52%|;commissionRate|5.38%|;shopId|1105067931|;";https://ae-pic-a1.aliexpress-media.com/kf/S3e0ec43ac15943c6916843976d83f2a5i.jpg;183.95;88.30
1,00501E+15;Natural Pink Ostrich Feather Fan Foldable Handheld Feather Fan Decoration Halloween Party Belly Dance Craft Accessories;https://rzekl.com/g/1e8d114494a625e64bb116525dc3e8/?ulp=https%3A%2F%2Fs.click.aliexpress.com%2Fdeep_link.htm%3Faff_short_key%3D_c3s1yQkJ%26dl_target_url%3Dhttps%253A%252F%252Fwww.aliexpress.com%252Fitem%252F1005010026305119.html%253Fpdp_npi%253D4%252540dis%252521USD%252521127.17%25252185.20%252521%252521%252521900.00%252521603.00%252521%2525402102e09d17630748553915490eb2a0%25252112000050873051686%252521affd%252521%252521%252521&i=5&f_id=50002;DIY Accessories;USD;"discount|33%|;commissionRate|5.38%|;shopId|1105155018|;";https://ae-pic-a1.aliexpress-media.com/kf/S58477fdb550342cfa1e5510f16219213F.jpg;127.17;85.20
1,00501E+15;Customized Version of Professional Tug-Of-War Competition Uniforms;https://rzekl.com/g/1e8d114494a625e64bb116525dc3e8/?ulp=https%3A%2F%2Fs.click.aliexpress.com%2Fdeep_link.htm%3Faff_short_key%3D_c3s1yQkJ%26dl_target_url%3Dhttps%253A%252F%252Fwww.aliexpress.com%252Fitem%252F1005008501971611.html%253Fpdp_npi%253D4%252540dis%252521USD%25252196.47%25252196.47%252521%252521%252521682.70%252521682.70%252521%2525402102e09d17630748553915490eb2a0%25252112000048944285287%252521affd%252521%252521%252521&i=5&f_id=50002;DIY Accessories;USD;"discount|0%|;commissionRate|5.38%|;shopId|1103441382|;";https://ae-pic-a1.aliexpress-media.com/kf/Sf00e25540aff497b8c9544839041a63a5.jpg;;96.47
1,00501E+15;Back Support Shirt for Rear Tug-of-War Players Anchor Vest;https://rzekl.com/g/1e8d114494a625e64bb116525dc3e8/?ulp=https%3A%2F%2Fs.click.aliexpress.com%2Fdeep_link.htm%3Faff_short_key%3D_c3s1yQkJ%26dl_target_url%3Dhttps%253A%252F%252Fwww.aliexpress.com%252Fitem%252F1005007240052453.html%253Fpdp_npi%253D4%252540dis%252521USD%25252196.94%25252196.94%252521%252521%252521686.04%252521686.04%252521%2525402102e09d17630748553915490eb2a0%25252112000039918102323%252521affd%252521%252521%252521&i=5&f_id=50002;DIY Accessories;USD;"discount|0%|;commissionRate|5.38%|;shopId|1103441382|;";https://ae-pic-a1.aliexpress-media.com/kf/Sf194ed73473f4434b5d74170c713dc07D.jpg;;96.94
1,00501E+15;FEMINIZER Trans Female Fashion Accessory PE Boobs Fuller Butt Bigger Feminine Appearance For MTF Women Man T-girl;https://rzekl.com/g/1e8d114494a625e64bb116525dc3e8/?ulp=https%3A%2F%2Fs.click.aliexpress.com%2Fdeep_link.htm%3Faff_short_key%3D_c3s1yQkJ%26dl_target_url%3Dhttps%253A%252F%252Fwww.aliexpress.com%252Fitem%252F1005008530795083.html%253Fpdp_npi%253D4%252540dis%252521USD%25252189.12%25252189.12%252521%252521%25252189.12%25252189.12%252521%2525402102e09d17630748553915490eb2a0%25252112000045581316011%252521affd%252521%252521%252521&i=5&f_id=50002;DIY Accessories;USD;"discount|0%|;commissionRate|5.38%|;shopId|1104271367|;";https://ae-pic-a1.aliexpress-media.com/kf/Sdcdc62ff0bf24bb2b094684b79914d63g.jpg;;89.12
1,00501E+15;Fashion Pain Bags New Cat Pain Bag PU Crossbody Bag Cute Girl JK Bag Student Anime Small Capacity Shoulder Bags;https://rzekl.com/g/1e8d114494a625e64bb116525dc3e8/?ulp=https%3A%2F%2Fs.click.aliexpress.com%2Fdeep_link.htm%3Faff_short_key%3D_c3s1yQkJ%26dl_target_url%3Dhttps%253A%252F%252Fwww.aliexpress.com%252Fitem%252F1005009200928251.html%253Fpdp_npi%253D4%252540dis%252521USD%25252191.43%25252187.77%252521%252521%252521647.07%252521621.19%252521%2525402102e09d17630748568461810eb2f8%25252112000048278865756%252521affd%252521%252521%252521&i=5&f_id=50002;Cosplay Accessories;USD;"discount|4%|;commissionRate|5.38%|;shopId|1102981235|;";https://ae-pic-a1.aliexpress-media.com/kf/S9069a1ccd2f14c8e80982420e267977ak.jpg;91.43;87.77
